x,y,z
1120,-4918.8249,2.9334
1120,-4921.049,26.2867
1120,-4955.5229,56.3123
1120,-5011.1258,58.5364
1120,-5061.1685,32.959
1120,-5107.875,-7.0751
1120,-5013.35,-2.0708
1120,-4918.8249,2.9334
1080,-4920,25.1573
1080,-4927.5182,31.751
1080,-4935.0363,38.3448
1080,-4942.5545,44.9385
1080,-4950.0726,51.5322
1080,-4958.7247,56.4404
1080,-4968.7167,56.8401
1080,-4978.7087,57.2397
1080,-4988.7007,57.6394
1080,-4998.6927,58.0391
1080,-5008.664,58.2837
1080,-5018.1627,55.1774
1080,-5027.1873,50.8696
1080,-5036.2119,46.5618
1080,-5045.2364,42.254
1080,-5054.2545,37.933
1080,-5063.0774,33.2766
1080,-5070.5076,26.5839
1080,-5077.9377,19.8911
1080,-5085.3679,13.1984
1080,-5092.798,6.5056
1080,-5100.2282,-0.1871
1080,-5107.875,-7.0751
1160,-4920,26.2099
1160,-4927.6291,32.6749
1160,-4935.2583,39.1399
1160,-4942.8874,45.6049
1160,-4950.5165,52.0699
1160,-4959.4917,56.4711
1160,-4969.4837,56.8707
1160,-4979.4758,57.2704
1160,-4989.4678,57.6701
1160,-4999.4598,58.069
1160,-5009.4527,58.2563
1160,-5018.8403,54.8117
1160,-5027.8457,50.4638
1160,-5036.851,46.1159
1160,-5045.8563,41.7679
1160,-5054.8589,37.4145
1160,-5063.747,32.8377
1160,-5071.37,26.3654
1160,-5078.9929,19.8931
1160,-5086.6159,13.4208
1160,-5094.2388,6.9485
1160,-5101.8618,0.4762
1160,-5109.4847,-5.9961
1160,-5111.3476,-7.5778
1160,-4920,26.2099
1160,-4927.6291,32.6749
1160,-4935.2583,39.1399
1160,-4942.8874,45.6049
1160,-4950.5165,52.0699
1160,-4959.4917,56.4711
1160,-4969.4837,56.8707
1160,-4979.4758,57.2704
1160,-4989.4678,57.6701
1160,-4999.4598,58.069
1160,-5009.4527,58.2563
1160,-5018.8403,54.8117
1160,-5027.8457,50.4638
1160,-5036.851,46.1159
1160,-5045.8563,41.7679
1160,-5054.8589,37.4145
1160,-5063.747,32.8377
1160,-5071.37,26.3654
1160,-5078.9929,19.8931
1160,-5086.6159,13.4208
1160,-5094.2388,6.9485
1160,-5101.8618,0.4762
1160,-5109.4847,-5.9961
1160,-5111.3476,-7.5778
1080,-4920,25.1573
1080,-4927.5182,31.751
1080,-4935.0363,38.3448
1080,-4942.5545,44.9385
1080,-4950.0726,51.5322
1080,-4958.7247,56.4404
1080,-4968.7167,56.8401
1080,-4978.7087,57.2397
1080,-4988.7007,57.6394
1080,-4998.6927,58.0391
1080,-5008.664,58.2837
1080,-5018.1627,55.1774
1080,-5027.1873,50.8696
1080,-5036.2119,46.5618
1080,-5045.2364,42.254
1080,-5054.2545,37.933
1080,-5063.0774,33.2766
1080,-5070.5076,26.5839
1080,-5077.9377,19.8911
1080,-5085.3679,13.1984
1080,-5092.798,6.5056
1080,-5100.2282,-0.1871
1080,-5107.875,-7.0751
1140,-4920,25.9467
1140,-4927.6662,32.4989
1140,-4935.3324,39.051
1140,-4942.9986,45.6032
1140,-4950.7105,52.0856
1140,-4959.7405,56.481
1140,-4969.8174,56.8841
1140,-4979.8944,57.2872
1140,-4989.9713,57.6902
1140,-5000.0487,58.0763
1140,-5010.0786,57.9627
1140,-5019.5383,54.4846
1140,-5028.6249,50.1098
1140,-5037.7116,45.7349
1140,-5046.7979,41.3594
1140,-5055.866,36.9472
1140,-5064.6426,32.0426
1140,-5072.2821,25.4602
1140,-5079.9215,18.8777
1140,-5087.561,12.2952
1140,-5095.2005,5.7128
1140,-5102.84,-0.8697
1140,-5110.4795,-7.4522
1120,-4920,25.6836
1120,-4927.6189,32.2514
1120,-4935.2379,38.8193
1120,-4942.8568,45.3871
1120,-4950.5075,51.9066
1120,-4959.4333,56.4687
1120,-4969.4847,56.8708
1120,-4979.5361,57.2728
1120,-4989.5875,57.6748
1120,-4999.6392,58.0649
1120,-5009.6583,58.0529
1120,-5019.1328,54.6902
1120,-5028.2012,50.3366
1120,-5037.2697,45.9829
1120,-5046.3379,41.6286
1120,-5055.3907,37.2432
1120,-5064.1807,32.4
1120,-5071.7525,25.7789
1120,-5079.3243,19.1579
1120,-5086.896,12.5368
1120,-5094.4678,5.9157
1120,-5102.0396,-0.7054
1120,-5109.6113,-7.3265
1100,-4920,25.4204
1100,-4927.5717,32.004
1100,-4935.1434,38.5875
1100,-4942.715,45.171
1100,-4950.3046,51.7276
1100,-4959.1261,56.4564
1100,-4969.152,56.8575
1100,-4979.1779,57.2585
1100,-4989.2037,57.6595
1100,-4999.2298,58.0536
1100,-5009.238,58.1432
1100,-5018.7273,54.8959
1100,-5027.7776,50.5633
1100,-5036.8278,46.2308
1100,-5045.8779,41.8979
1100,-5054.9153,37.5392
1100,-5063.7189,32.7574
1100,-5071.2229,26.0977
1100,-5078.727,19.438
1100,-5086.231,12.7783
1100,-5093.7351,6.1186
1100,-5101.2391,-0.5411
1100,-5108.7432,-7.2008
1160,-4918.8249,2.9334
1160,-4921.049,26.2867
1160,-4955.5229,56.3123
1160,-5011.1258,58.5364
1160,-5061.1685,32.959
1160,-5107.875,-7.0751
1160,-5013.35,-2.0708
1160,-4918.8249,2.9334
1080,-4918.8249,2.9334
1080,-4921.049,26.2867
1080,-4955.5229,56.3123
1080,-5011.1258,58.5364
1080,-5061.1685,32.959
1080,-5107.875,-7.0751
1080,-5013.35,-2.0708
1080,-4918.8249,2.9334
